what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525661525995
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525661535027
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.properties",1525661535042
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1525661540996
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1525661544809
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1525661546418
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525661557059
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525661561919
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525661566794
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525661591967
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525661593800
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525661603128
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525661603128
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525661604112
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525661604112
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525661610222
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525661794328
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.saveAll",1525662203089
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1525662204698
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525662229684
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525662290664
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525662295930
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525662304758
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525662304868
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1525662305305
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1525662485455
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525662489002
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525662832003
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525662832159
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525662832331
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525662845566
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1525662847472
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1525662847488
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1525662853082
started,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1525662853473
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525662855926
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1525662859895
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1525662860661
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1525662861536
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1525662864801
